# X,Y,Penetration Depth,Frames to Capture
8.00,5.50,3.00,30.00
8.50,5.50,3.00,30.00
9.00,5.50,3.00,30.00
9.50,5.50,3.00,30.00
10.00,5.50,3.00,30.00
10.50,5.50,3.00,30.00
11.00,5.50,3.00,30.00
11.50,5.50,3.00,30.00
12.00,5.50,3.00,30.00
12.50,5.50,3.00,30.00
13.00,5.50,3.00,30.00
13.50,5.50,3.00,30.00
14.00,5.50,3.00,30.00
14.50,5.50,3.00,30.00
15.00,5.50,3.00,30.00
15.50,5.50,3.00,30.00
16.00,5.50,3.00,30.00
16.50,5.50,3.00,30.00
17.00,5.50,3.00,30.00
17.50,5.50,3.00,30.00
18.00,5.50,3.00,30.00
18.50,5.50,3.00,30.00
19.00,5.50,3.00,30.00
0.00,6.00,3.00,30.00
0.50,6.00,3.00,30.00
1.00,6.00,3.00,30.00
1.50,6.00,3.00,30.00
2.00,6.00,3.00,30.00
2.50,6.00,3.00,30.00
3.00,6.00,3.00,30.00
3.50,6.00,3.00,30.00
4.00,6.00,3.00,30.00
4.50,6.00,3.00,30.00
5.00,6.00,3.00,30.00
5.50,6.00,3.00,30.00
6.00,6.00,3.00,30.00
6.50,6.00,3.00,30.00
7.00,6.00,3.00,30.00
7.50,6.00,3.00,30.00
8.00,6.00,3.00,30.00
8.50,6.00,3.00,30.00
9.00,6.00,3.00,30.00
9.50,6.00,3.00,30.00
10.00,6.00,3.00,30.00
10.50,6.00,3.00,30.00
11.00,6.00,3.00,30.00
11.50,6.00,3.00,30.00
12.00,6.00,3.00,30.00
12.50,6.00,3.00,30.00
13.00,6.00,3.00,30.00
13.50,6.00,3.00,30.00
14.00,6.00,3.00,30.00
14.50,6.00,3.00,30.00
15.00,6.00,3.00,30.00
15.50,6.00,3.00,30.00
16.00,6.00,3.00,30.00
16.50,6.00,3.00,30.00
17.00,6.00,3.00,30.00
17.50,6.00,3.00,30.00
18.00,6.00,3.00,30.00
18.50,6.00,3.00,30.00
19.00,6.00,3.00,30.00
0.00,6.50,3.00,30.00
0.50,6.50,3.00,30.00
1.00,6.50,3.00,30.00
1.50,6.50,3.00,30.00
2.00,6.50,3.00,30.00
2.50,6.50,3.00,30.00
3.00,6.50,3.00,30.00
3.50,6.50,3.00,30.00
4.00,6.50,3.00,30.00
4.50,6.50,3.00,30.00
5.00,6.50,3.00,30.00
5.50,6.50,3.00,30.00
6.00,6.50,3.00,30.00
6.50,6.50,3.00,30.00
7.00,6.50,3.00,30.00
7.50,6.50,3.00,30.00
8.00,6.50,3.00,30.00
8.50,6.50,3.00,30.00
9.00,6.50,3.00,30.00
9.50,6.50,3.00,30.00
10.00,6.50,3.00,30.00
10.50,6.50,3.00,30.00
11.00,6.50,3.00,30.00
11.50,6.50,3.00,30.00
12.00,6.50,3.00,30.00
12.50,6.50,3.00,30.00
13.00,6.50,3.00,30.00
13.50,6.50,3.00,30.00
14.00,6.50,3.00,30.00
14.50,6.50,3.00,30.00
15.00,6.50,3.00,30.00
15.50,6.50,3.00,30.00
16.00,6.50,3.00,30.00
16.50,6.50,3.00,30.00
17.00,6.50,3.00,30.00
17.50,6.50,3.00,30.00
18.00,6.50,3.00,30.00
18.50,6.50,3.00,30.00
19.00,6.50,3.00,30.00
0.00,7.00,3.00,30.00
0.50,7.00,3.00,30.00
1.00,7.00,3.00,30.00
1.50,7.00,3.00,30.00
2.00,7.00,3.00,30.00
2.50,7.00,3.00,30.00
3.00,7.00,3.00,30.00
3.50,7.00,3.00,30.00
4.00,7.00,3.00,30.00
4.50,7.00,3.00,30.00
5.00,7.00,3.00,30.00
5.50,7.00,3.00,30.00
6.00,7.00,3.00,30.00
6.50,7.00,3.00,30.00
7.00,7.00,3.00,30.00
7.50,7.00,3.00,30.00
8.00,7.00,3.00,30.00
8.50,7.00,3.00,30.00
9.00,7.00,3.00,30.00
9.50,7.00,3.00,30.00
10.00,7.00,3.00,30.00
10.50,7.00,3.00,30.00
11.00,7.00,3.00,30.00
11.50,7.00,3.00,30.00
12.00,7.00,3.00,30.00
12.50,7.00,3.00,30.00
13.00,7.00,3.00,30.00
13.50,7.00,3.00,30.00
14.00,7.00,3.00,30.00
14.50,7.00,3.00,30.00
15.00,7.00,3.00,30.00
15.50,7.00,3.00,30.00
16.00,7.00,3.00,30.00
16.50,7.00,3.00,30.00
17.00,7.00,3.00,30.00
17.50,7.00,3.00,30.00
18.00,7.00,3.00,30.00
18.50,7.00,3.00,30.00
19.00,7.00,3.00,30.00
0.00,7.50,3.00,30.00
0.50,7.50,3.00,30.00
1.00,7.50,3.00,30.00
1.50,7.50,3.00,30.00
2.00,7.50,3.00,30.00
2.50,7.50,3.00,30.00
3.00,7.50,3.00,30.00
3.50,7.50,3.00,30.00
4.00,7.50,3.00,30.00
4.50,7.50,3.00,30.00
5.00,7.50,3.00,30.00
5.50,7.50,3.00,30.00
6.00,7.50,3.00,30.00
6.50,7.50,3.00,30.00
7.00,7.50,3.00,30.00
7.50,7.50,3.00,30.00
8.00,7.50,3.00,30.00
8.50,7.50,3.00,30.00
9.00,7.50,3.00,30.00
9.50,7.50,3.00,30.00
10.00,7.50,3.00,30.00
10.50,7.50,3.00,30.00
11.00,7.50,3.00,30.00
11.50,7.50,3.00,30.00
12.00,7.50,3.00,30.00
12.50,7.50,3.00,30.00
13.00,7.50,3.00,30.00
13.50,7.50,3.00,30.00
14.00,7.50,3.00,30.00
14.50,7.50,3.00,30.00
15.00,7.50,3.00,30.00
15.50,7.50,3.00,30.00
16.00,7.50,3.00,30.00
16.50,7.50,3.00,30.00
17.00,7.50,3.00,30.00
17.50,7.50,3.00,30.00
18.00,7.50,3.00,30.00
18.50,7.50,3.00,30.00
19.00,7.50,3.00,30.00
0.00,8.00,3.00,30.00
0.50,8.00,3.00,30.00
1.00,8.00,3.00,30.00
1.50,8.00,3.00,30.00
2.00,8.00,3.00,30.00
2.50,8.00,3.00,30.00
3.00,8.00,3.00,30.00
3.50,8.00,3.00,30.00
4.00,8.00,3.00,30.00
4.50,8.00,3.00,30.00
5.00,8.00,3.00,30.00
5.50,8.00,3.00,30.00
6.00,8.00,3.00,30.00
6.50,8.00,3.00,30.00
7.00,8.00,3.00,30.00
7.50,8.00,3.00,30.00
8.00,8.00,3.00,30.00
8.50,8.00,3.00,30.00
9.00,8.00,3.00,30.00
9.50,8.00,3.00,30.00
10.00,8.00,3.00,30.00
10.50,8.00,3.00,30.00
11.00,8.00,3.00,30.00
11.50,8.00,3.00,30.00
12.00,8.00,3.00,30.00
12.50,8.00,3.00,30.00
13.00,8.00,3.00,30.00
13.50,8.00,3.00,30.00
14.00,8.00,3.00,30.00
14.50,8.00,3.00,30.00
15.00,8.00,3.00,30.00
15.50,8.00,3.00,30.00
16.00,8.00,3.00,30.00
16.50,8.00,3.00,30.00
17.00,8.00,3.00,30.00
17.50,8.00,3.00,30.00
18.00,8.00,3.00,30.00
18.50,8.00,3.00,30.00
19.00,8.00,3.00,30.00
0.00,8.50,3.00,30.00
0.50,8.50,3.00,30.00
1.00,8.50,3.00,30.00
1.50,8.50,3.00,30.00
2.00,8.50,3.00,30.00
2.50,8.50,3.00,30.00
3.00,8.50,3.00,30.00
3.50,8.50,3.00,30.00
4.00,8.50,3.00,30.00
4.50,8.50,3.00,30.00
5.00,8.50,3.00,30.00
5.50,8.50,3.00,30.00
6.00,8.50,3.00,30.00
6.50,8.50,3.00,30.00
7.00,8.50,3.00,30.00
7.50,8.50,3.00,30.00
8.00,8.50,3.00,30.00
8.50,8.50,3.00,30.00
9.00,8.50,3.00,30.00
9.50,8.50,3.00,30.00
10.00,8.50,3.00,30.00
10.50,8.50,3.00,30.00
11.00,8.50,3.00,30.00
11.50,8.50,3.00,30.00
12.00,8.50,3.00,30.00
12.50,8.50,3.00,30.00
13.00,8.50,3.00,30.00
13.50,8.50,3.00,30.00
14.00,8.50,3.00,30.00
14.50,8.50,3.00,30.00
15.00,8.50,3.00,30.00
15.50,8.50,3.00,30.00
16.00,8.50,3.00,30.00
16.50,8.50,3.00,30.00
17.00,8.50,3.00,30.00
17.50,8.50,3.00,30.00
18.00,8.50,3.00,30.00
18.50,8.50,3.00,30.00
19.00,8.50,3.00,30.00
0.00,9.00,3.00,30.00
0.50,9.00,3.00,30.00
1.00,9.00,3.00,30.00
1.50,9.00,3.00,30.00
2.00,9.00,3.00,30.00
2.50,9.00,3.00,30.00
3.00,9.00,3.00,30.00
3.50,9.00,3.00,30.00
4.00,9.00,3.00,30.00
4.50,9.00,3.00,30.00
5.00,9.00,3.00,30.00
5.50,9.00,3.00,30.00
6.00,9.00,3.00,30.00
6.50,9.00,3.00,30.00
7.00,9.00,3.00,30.00
